,x,Latitude,Longitude,Latitude_r,Longitude_r,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
3225,Abilene Kan,38.9111,-97.195283,38.9111,-97.1953,1,place,,,,,Abilene,KS,Dickinson County,67410,US,TIGER/Line® dataset from the US Census Bureau,2020,20,20041,,,84300,2023,2,2.00E+14,20041084300,,,,,,,
611,Affton Missouri,38.631501,-90.19231,38.6315,-90.1923,1,place,,,,,Saint Louis,MO,St. Louis City,63101,US,TIGER/Line® dataset from the US Census Bureau,2020,29,29510,St. Louis,2965000,125600,1012,1,2.95E+14,29510125600,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
670,Affton Mo,38.631501,-90.19231,38.6315,-90.1923,1,place,,,,,Saint Louis,MO,St. Louis City,63101,US,TIGER/Line® dataset from the US Census Bureau,2020,29,29510,St. Louis,2965000,125600,1012,1,2.95E+14,29510125600,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476,,
288,Albany Ore,44.65345,-123.139526,44.6535,-123.1395,1,place,,,,,Albany,OR,Benton County,97321,US,TIGER/Line® dataset from the US Census Bureau,2020,41,41003,Albany,4101000,10101,2007,2,4.10E+14,41003010101,"Corvallis, OR",18700,metropolitan,"Portland-Vancouver-Salem, OR-WA",440,,
687,Albert Lea Minn,43.686288,-93.389838,43.6863,-93.3898,1,place,,,,,Albert Lea,MN,Freeborn County,56007,US,TIGER/Line® dataset from the US Census Bureau,2020,27,27047,,,180700,1088,1,2.70E+14,27047180700,"Albert Lea, MN",10660,micropolitan,,,,
1854,Albion Neb,41.648736,-98.011092,41.6487,-98.0111,1,place,,,,,Albion,NE,Boone County,68620,US,TIGER/Line® dataset from the US Census Bureau,2020,31,31011,,,960200,2048,2,3.10E+14,31011960200,,,,,,,
1798,Algoa Tex,29.41244,-95.25058,29.4124,-95.2506,1,,,,,,Alvin,TX,Brazoria County,77511,,,,48,48039,,,,,,,,,,,,,,
2586,Alliance Neb,42.09302,-102.8702,42.093,-102.8702,1,place,,,,,Alliance,NE,Box Butte County,69301,US,TIGER/Line® dataset from the US Census Bureau,2020,31,31013,Alliance,3100905,951300,3051,3,3.10E+14,31013951300,,,,,,,
2195,Alton La,30.39739,-89.77462,30.3974,-89.7746,1,,,,,,Saint Tammany,LA,Saint Tammany,70452,,,,22,22103,,,,,,,,,,,,,,
3203,Amelia City Fla,30.6224,-81.47334,30.6224,-81.4733,1,,,,,,Fernandina,FL,Nassau County,32034,,,,12,12089,,,,,,,,,,,,,,
3497,Amherst,42.367092,-72.464571,42.3671,-72.4646,1,place,,,,,Amherst,MA,Hampshire County,1002,US,TIGER/Line® dataset from the US Census Bureau,2020,25,25015,,,820205,3028,3,2.50E+14,25015820205,"Springfield, MA",44140,metropolitan,,,,
986,Amherst Mass,42.367092,-72.464571,42.3671,-72.4646,1,place,,,,,Amherst,MA,Hampshire County,1002,US,TIGER/Line® dataset from the US Census Bureau,2020,25,25015,,,820205,3028,3,2.50E+14,25015820205,"Springfield, MA",44140,metropolitan,,,,
2630,Anchorage Ky,38.25532,-85.55268,38.2553,-85.5527,1,,,,,,Meadowbrook Farm,KY,Jefferson County,40223,,,,21,21111,,,,,,,,,,,,,,
825,Anna Ill,37.474268,-89.163042,37.4743,-89.163,1,place,,,,,Anna,IL,Union County,62906,US,TIGER/Line® dataset from the US Census Bureau,2020,17,17181,,,950100,1072,1,1.72E+14,17181950100,,,,,,,
1520,Annamoriah W Va,38.940639,-81.227061,38.9406,-81.2271,0.9,place,,,,,Annamoriah,WV,Calhoun County,26130,US,TIGER/Line® dataset from the US Census Bureau,2020,54,54013,,,962600,3040,3,5.40E+14,54013962600,,,,,,,
3268,Antioch Ill,42.451419,-88.075733,42.4514,-88.0757,1,place,,,,,Antioch,IL,Lake County,60002,US,TIGER/Line® dataset from the US Census Bureau,2020,17,17097,,,860811,2035,2,1.71E+14,17097860811,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Lake County-Kenosha County, IL-WI",29404
1331,Arlington (NJ),40.75175,-74.122937,40.7518,-74.1229,1,place,,,,,Kearny,NJ,Hudson County,7032,,,2020,34,34017,,,,,,,,,,,,,,
2158,Arlington Heights Cook County Ill,42.11278,-87.979542,42.1128,-87.9795,1,place,,,,,Arlington Heights,IL,Cook County,60004,US,TIGER/Line® dataset from the US Census Bureau,2020,17,17031,Arlington Heights,1702154,803008,1010,1,1.70E+14,17031803008,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176,"Chicago-Naperville-Evanston, IL",16984
685,Arlington Neb,41.501979,-96.317932,41.502,-96.3179,1,place,,,,,Arlington,NE,Washington County,68002,US,TIGER/Line® dataset from the US Census Bureau,2020,31,31177,,,50300,1085,1,3.12E+14,31177050300,"Omaha-Council Bluffs, NE-IA",36540,metropolitan,"Omaha-Council Bluffs-Fremont, NE-IA",420,,
689,Arlington Nebr,41.501979,-96.317932,41.502,-96.3179,1,place,,,,,Arlington,NE,Washington County,68002,US,TIGER/Line® dataset from the US Census Bureau,2020,31,31177,,,50300,1085,1,3.12E+14,31177050300,"Omaha-Council Bluffs, NE-IA",36540,metropolitan,"Omaha-Council Bluffs-Fremont, NE-IA",420,,
2649,Arvada Colo,39.794822,-105.105292,39.7948,-105.1053,1,place,,,,,Arvada,CO,Jefferson County,80002,US,TIGER/Line® dataset from the US Census Bureau,2020,8,8059,Arvada,803455,10308,4011,4,8.06E+13,8059010308,"Denver-Aurora-Lakewood, CO",19740,metropolitan,"Denver-Aurora, CO",216,,
3680,Ashland Mass,42.26121,-71.4634,42.2612,-71.4634,1,place,,,,,Ashland,MA,Middlesex County,1721,US,TIGER/Line® dataset from the US Census Bureau,2020,25,25017,,,385102,1020,1,2.50E+14,25017385102,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148,"Cambridge-Newton-Framingham, MA",15764
3363,Askov Minn,46.215511,-92.759076,46.2155,-92.7591,1,place,,,,,Askov,MN,Pine County,55704,US,TIGER/Line® dataset from the US Census Bureau,2020,27,27115,,,950300,1023,1,2.71E+14,27115950300,,,,,,,
1644,Atchinson Kan,39.535948,-95.225098,39.5359,-95.2251,1,place,,,,,Atchison,KS,Atchison County,66002,US,TIGER/Line® dataset from the US Census Bureau,2020,20,20005,,,81600,5106,5,2.00E+14,20005081600,"Atchison, KS",11860,micropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
2020,Atchinson Kansas,39.535948,-95.225098,39.5359,-95.2251,1,place,,,,,Atchison,KS,Atchison County,66002,US,TIGER/Line® dataset from the US Census Bureau,2020,20,20005,,,81600,5106,5,2.00E+14,20005081600,"Atchison, KS",11860,micropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312,,
