"AcceptedName","USDAcode"
"Erythrostemon gilliesii","CAGI"
"Citrus X aurantiifolia","CIAU7"
"Citrus X aurantium","CIAUA"
"Citrus X limon","CILI5"
"Dioscorea polystachya","DIOP"
"Melastoma septemnervium","MECA9"
"Cenchrus macrourus","PEMA80"
"Fallopia japonica var  japonica","POCU6"
"Persicaria wallichii var  wallichii","POPO5"
"Pueraria montana var  lobata","PUMOL"
"Combretum indicum","QUIN10"
"Rosa rubiginosa var  rubiginosa","RORU82"
"Rosa lucieae","ROWI"
"Rubus plicatus","RUFR80"
"Tripidium ravennae ssp  ravennae","SARA3"
"Sorghum X almum","SOAL"
"Abies lasiocarpa var  arizonica","ABLAA"
"Abies lasiocarpa var  lasiocarpa","ABLAL"
"Abronia umbellata var  umbellata","ABIN2"
"Vachellia farnesiana var  farnesiana","ACFA"
"Acaena novae zelandiae","ACN07"
"Eleutherococcus sieboldianus","ELPE6"
"Acer glabrum var  douglasii","ACGLD4"
"Acer opalus ssp  obtusatum","ACOPO"
"Acer glabrum var  glabrum","ACGLG2"
"Achillea erba rotta ssp  rupestris","ACERR"
"Aconitum columbianum ssp  viviparum","ACCOV2"
"Aconitum lycoctonum ssp  vulparia","ACVU2"
"Rhodanthe chlorocephala ssp  rosea","RHCHR"
"Acrocomia aculeata","ACVI6"
"Tetraneuris acaulis var  acaulis","TEACA2"
"Aesculus glabra var  arguta","AEGLA"
"Aesculus pavia var  pavia","AEPAP"
"Aesculus glabra var  glabra","AEGLG"
"Agave americana ssp  americana","AGAMA"
"Agave parryi ssp  parryi","AGPAP5"
"Agave lecheguilla","AGLE"
"Agave parryi ssp  neomexicana","AGPAN6"
"Agave utahensis var  nevadensis","AGUTN"
"Thinopyrum elongatum","THPO7"
"Elymus trachycaulus ssp  trachycaulus","ELTRT"
"Agrostis umbellata","AGVIV3"
"Mirabilis linearis var  linearis","MILI3"
"Allium tolmiei var  tolmiei","ALTOT"
"Cynoglottis barrelieri","ANBA3"
"Pseudanomodon attenuatus","ANAT4"
"Toxicoscordion fremontii","ZIFR"
"Antigonon guatimalense","ANGU"
"Eremogone franklinii","ARFR"
"Aronia X prunifolia","ARPR2"
"Gomphocarpus fruticosus","ASAN5"
"Hypericum crux andreae","HYCR3"
"Asplenium trichomanes ramosum","ASTR10"
"Symphyotrichum X amethystinum","SYAM3"
"Xanthisma blephariphyllum","MABL2"
"Ionactis linariifolia","IOLI2"
"Synthyris plantaginea","BEAR"
"Bomarea hirsuta","BOKA2"
"Brachychiton populneus","BRPO6"
"Brugmansia X candida","BRCA31"
"Terminalia buceras","BUBU"
"Poincianella mexicana","CAME"
"Calceolaria angustiflora","CAMU26"
"Capparidastrum frondosum","CABA2"
"Planodes virginica","SIVI2"
